용례번호,규정코드,외래어구분,대분류구분,중분류구분,한글표기,원어표기,로마자표기,국명,언어명,이표기1,이표기2,이표기3,오표기1,오표기2,오표기3,오표기4,오표기5,의미,출전,노출여부,등록일시,수정일시
45,외래어 표기법,지명,,,이오니아해,Ionia해,,"이탈리아, 그리스",기타 언어,,,,,,,,,이탈리아반도와 그리스 사이에 있는 바다.,표준국어대사전,Y,2022-02-23 14:45:00,
45,국어의 로마자 표기법,,행정 구역,행정 구역,충무공동,,Chungmugong-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
46,외래어 표기법,지명,,,이라클리온,Iraklion,,그리스,기타 언어,,,,아이락리온,이락라이온,이라크리온,,,"그리스 남부의 크레타섬 북쪽 바다 기슭에 있는, 이섬에서 가장 큰 항구 도시.","표준국어대사전, 보유2",Y,2022-02-23 14:45:00,
46,국어의 로마자 표기법,,행정 구역,행정 구역,축복동3가,,Chukbok-dong 3-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
47,외래어 표기법,지명,,,칼라마타,Kalamata,,그리스,기타 언어,,,,,,,,,그리스 펠로폰네소스 지방 메시니아주의 주도.,보유2,Y,2022-02-23 14:45:00,
47,국어의 로마자 표기법,,행정 구역,행정 구역,축복동2가,,Chukbok-dong 2-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
48,외래어 표기법,지명,,,카르파토스섬,Karpathos,,그리스,기타 언어,,,,,,,,,에게해에 있는 그리스령 섬으로 로도스섬과 크레타섬 사이에 위치하며 도데카니소스제도에 속하는 섬 중에서 두번째로 큰 섬.,보유2,Y,2022-02-23 14:45:00,
48,국어의 로마자 표기법,,행정 구역,행정 구역,축복동1가,,Chukbok-dong 1-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
49,외래어 표기법,지명,,,케아섬,Kea섬,,그리스,기타 언어,,,,,,,,,"그리스, 에게해에 있는 섬.","편수자료, 용례집",Y,2022-02-23 14:45:00,
49,국어의 로마자 표기법,,행정 구역,행정 구역,청평면,,Cheongpyeong-myeon,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
50,외래어 표기법,지명,,,케르키라,Kerkira,,그리스,기타 언어,,,,케르키러,커키라,커어키러,,,"그리스 북서부, 이오니아 제도 북쪽 끝의 코르푸섬에 있는 도시.","표준국어대사전, 보유2",Y,2022-02-23 14:45:00,
50,국어의 로마자 표기법,,행정 구역,행정 구역,청덕동,,Cheongdeok-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
51,외래어 표기법,지명,,,키클라데스,Kikladhes,,그리스,기타 언어,,,,,,,,,에게해 남쪽에 있는 그리스령 제도.,보유1,Y,2022-02-23 14:45:00,
51,국어의 로마자 표기법,,행정 구역,행정 구역,천송동,,Cheonsong-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
52,외래어 표기법,지명,,,키테론,Kitheron,,그리스,기타 언어,,,,,,,,,그리스 이오니아 제도의 최남단.,"편수자료, 용례집",Y,2022-02-23 14:45:00,
52,국어의 로마자 표기법,,행정 구역,행정 구역,창인동2가,,Changin-dong 2-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
53,외래어 표기법,지명,,,고린도,Korinthos,,그리스,기타 언어,,,,,,,,,[기독] 그리스 본토와 펠로폰네소스반도를 잇는 코린트 지협의 남단에 있던 항구 도시.,표준국어대사전,Y,2022-02-23 14:45:00,
53,국어의 로마자 표기법,,행정 구역,행정 구역,창인동1가,,Changin-dong 1-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
54,외래어 표기법,지명,,,코스섬,Kos,,그리스,기타 언어,,,,,,,,,튀르키예 남서부 해안 부근에 있는 그리스령섬.,보유2,Y,2022-02-23 14:45:00,2023-04-18 13:28:00
54,국어의 로마자 표기법,,행정 구역,행정 구역,진안동,,Jinan-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
55,외래어 표기법,지명,,,코자니,Kozani,,그리스,기타 언어,,,,코재니,,,,,"그리스 동부, 마케도니아에 있는 상업 도시.",표준국어대사전,Y,2022-02-23 14:45:00,
55,국어의 로마자 표기법,,행정 구역,행정 구역,진관동,,Jingwan-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
56,외래어 표기법,지명,,,키프로스,Kypros,,키프로스,기타 언어,,,,카이프로스,,,,,지중해 동부 키프로스섬을 차지하는 공화국. 수도는 니코시아.,"편수자료, 용례집, 표준국어대사전",Y,2022-02-23 14:45:00,
56,국어의 로마자 표기법,,행정 구역,행정 구역,지평면,,Jipyeong-myeon,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
57,외래어 표기법,지명,,,라브리온,Lavrion,,그리스,기타 언어,,,,,,,,,그리스 아테네 근처 도시.,보유1,Y,2022-02-23 14:45:00,
57,국어의 로마자 표기법,,행정 구역,행정 구역,중화산동2가,,Junghwasan-dong 2-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
58,외래어 표기법,지명,,,레프카스섬,Lefkas,,그리스,기타 언어,,,,,,,,,그리스 서부에 있는 섬.,보유2,Y,2022-02-23 14:45:00,
58,국어의 로마자 표기법,,행정 구역,행정 구역,중화산동1가,,Junghwasan-dong 1-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
59,외래어 표기법,지명,,,레스보스,Lesbos,,그리스,기타 언어,,,,,,,,,그리스의 지명.,보유2,Y,2022-02-23 14:45:00,
59,국어의 로마자 표기법,,행정 구역,행정 구역,중앙탑면,,Jungangtap-myeon,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
60,외래어 표기법,지명,,,레스보스섬,Lesbos섬,,그리스,기타 언어,,,,,,,,,"그리스 동부, 에게해에 있는 섬.",표준국어대사전,Y,2022-02-23 14:45:00,
60,국어의 로마자 표기법,,행정 구역,행정 구역,중동2가,,Jung-dong 2-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
61,외래어 표기법,지명,,,리마솔,Limassol,,키프로스,기타 언어,,,,리마소올,리마쏠,,,,키프로스 남부에 있는 항구 도시.,"표준국어대사전, 보유2",Y,2022-02-23 14:45:00,
61,국어의 로마자 표기법,,행정 구역,행정 구역,중동1가,,Jung-dong 1-ga,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
62,외래어 표기법,지명,,,림노스섬,Limnos,,그리스,기타 언어,,,,,,,,,그리스 에게해 북동부에 있는 섬.,보유2,Y,2022-02-23 14:45:00,
62,국어의 로마자 표기법,,행정 구역,행정 구역,주진동,,Jujin-dong,,,,,,,,,,,,,Y,2019-01-24 14:32:00,
